id	part	cd_dia_a	cd_dia_a_tol	cd_dia_b	cd_dia_b_tol	cd_dia_c	cd_dia_c_tol	cd_dia_d	cd_dia_d_tol	cd_cwc_dia_e	cd_cwc_dia_e_tol	cd_bore_dia	cd_bore_dia_tol	cd__mounting_holes	cd_mounting_hole_dia	cd_mounting_hole_thread_callout	cd_dyn_cs	cd_matl	cd_oal	cd_oal_tol	cd_hub_pos_f	cd_hub_pos_f_tol	cd_cc_loc_pos_g	cd_cc_loc_pos_g_tol	cd_lead_in_chmfr_12angle	cd_lead_in_chmfr_len	cd_superback_flatback	cd_weight	cd_diagram_
85	5-A-5724	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
86	5-A-5770	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
87	5-A-5807	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
88	5-A-5812	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
89	5-A-5843	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
90	5-A-5865	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
91	5-A-5888	6.112	NULL	5.180	NULL	2.671	NULL	NULL	NULL	2.695	NULL	0.5000	NULL	NULL	NULL	NULL	19772	NULL	0.705	NULL	NULL	NULL	0.541	NULL	NULL	60.000	NULL	385.1	NULL
92	5-A-5906	7.689	NULL	5.854	NULL	2.896	NULL	NULL	NULL	3.060	NULL	0.6730	NULL	NULL	NULL	NULL	19772	NULL	0.904	NULL	NULL	NULL	0.688	NULL	NULL	60.000	20368	767.2	NULL
93	5-A-5915	6.793	NULL	6.120	NULL	2.896	NULL	NULL	NULL	3.285	NULL	0.6730	NULL	NULL	NULL	NULL	19772	NULL	0.904	NULL	NULL	NULL	0.638	NULL	NULL	NULL	20368	NULL	NULL
94	5-A-5945	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
95	5-A-5967	6.112	NULL	5.490	NULL	3.122	NULL	NULL	NULL	3.080	NULL	0.5000	NULL	NULL	NULL	NULL	19772	NULL	0.884	NULL	NULL	NULL	0.718	NULL	NULL	60.000	NULL	348.9	NULL
96	5-A-6006	7.640	0.005	6.962	0.005	3.345	0.005	-99.000	-99.000	3.739	0.005	0.6760	0.0050	4	0.360	20411	19772	19733	0.821	0.005	0.000	0.000	0.544	0.010	NULL	NULL	20368	250.4	NULL
97	5-A-6023	6.800	0.005	6.124	0.005	2.894	0.001	-99.000	-99.000	3.290	0.005	0.5620	0.0010	4	0.390	20411	19772	NULL	0.830	0.005	0.128	0.005	NULL	NULL	NULL	NULL	20368	614.5	3
98	5-A-6063	8.652	0.010	8.228	0.005	2.892	0.005	-99.000	-99.000	3.282	0.005	0.5610	0.0010	4	2.515	20411	19772	19729	1.330	0.005	0.120	0.010	0.590	0.005	NULL	NULL	20368	813.8	4
99	5-A-6126	4.230	0.005	3.944	0.005	2.052	0.005	1.730	0.005	2.104	0.005	0.3940	0.0010	4	0.224	20411	19772	19730	0.539	0.005	0.120	0.005	0.330	0.005	45.0	0.018	20368	105.7	2
100	5-A-6137	4.790	0.005	4.429	0.005	3.124	0.001	2.135	0.005	2.526	0.005	0.5000	0.0050	4	-99.000	20909	19772	19729	0.834	0.005	NULL	NULL	0.709	0.010	20.0	NULL	20369	247.0	1
101	5-A-6138	3.897	0.005	3.527	0.005	2.050	0.005	1.729	0.001	2.107	0.005	0.3950	0.0010	4	NULL	20411	19772	19729	0.478	0.010	0.055	0.005	0.333	0.010	30.0	0.035	20368	85.1	2
102	5-A-6157	4.880	0.005	3.943	0.005	2.050	0.005	1.730	0.005	2.122	0.005	0.3940	0.0010	4	0.240	20411	19772	19730	0.550	0.005	0.053	0.005	NULL	NULL	30.0	0.035	20368	154.5	2
103	5-A-6167	6.800	0.005	6.121	0.005	3.340	0.005	-99.000	-99.000	3.329	0.005	0.6900	0.0010	4	0.270	20411	19772	19730	0.660	0.005	NULL	NULL	0.400	0.005	NULL	NULL	20368	557.6	5
104	5-A-6174	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
105	5-A-6232	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
106	5-A-6261	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
107	5-B-3981	6.594	0.005	5.814	0.005	2.946	0.005	2.690	0.005	3.327	0.005	0.6350	0.0010	4	-99.000	20909	19772	19728	0.805	0.005	0.260	0.002	0.155	0.010	25.0	0.039	20368	422.2	6
108	5-B-5343	2.673	NULL	2.050	NULL	0.952	NULL	NULL	NULL	2.048	NULL	0.6360	NULL	NULL	NULL	NULL	19772	NULL	0.439	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	178.5	NULL
109	5-B-5856	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
110	5-C-5627	2.750	NULL	-99.000	NULL	1.300	NULL	NULL	NULL	2.028	NULL	0.8670	NULL	NULL	NULL	NULL	NULL	NULL	0.665	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	191.0	NULL
111	5-D-2278	4.445	0.005	2.821	0.005	1.418	0.002	-99.000	-99.000	1.813	0.005	0.3940	0.0010	0	-99.000	20411	19772	19729	0.661	0.005	0.160	0.002	0.150	0.005	21.0	0.060	20368	140.3	7
112	5-D-2279	4.445	0.005	2.979	0.005	1.418	0.002	-99.000	-99.000	2.013	0.005	0.3950	0.0010	0	-99.000	20411	19772	19729	0.661	0.005	0.160	0.002	0.150	0.005	58.0	0.011	20368	144.4	7
