id	part	cd_water_cooled	cd_ce_dia_a	cd_ce_dia_a_tol	cd_ce_dia_b	cd_ce_dia_b_tol	cd_ce_dia_c	cd_ce_dia_c_tol	cd_cwc_dia	cd_cwc_dia_tol	cd_bore_dia_max	cd_bore_dia_min	cd_pr_bore_dia	cd_pr_bore_dia_tol	cd_single_dual_oil_feed	cd_spinning_bearing	cd_oil_inlet_thread	cd_oil_drain_thread	cd_oil_drain_flange_thread	cd_coolant_port_thread_1	cd_coolant_port_thread_2	cd_te_dia_d	cd_te_dia_d_tol	cd_te_dia_e	cd_te_dia_e_tol	cd_te_dia_f	cd_te_dia_f_tol	cd_arm_angle	cd_quadrant	cd_oal	cd_oal_tol	cd_weight	cd_diagram_	cd_oil_inlet_flange_thread	cd_lead_in_chmfr_angle	cd_lead_in_chmfr_len
188	4-D-4981	0	3.344	NULL	3.085	NULL	NULL	NULL	1.851	NULL	NULL	NULL	NULL	NULL	19720	NULL	20939	20909	NULL	20411	NULL	-99.000	NULL	3.730	NULL	1.625	NULL	NULL	21066	2.110	NULL	814.0	NULL	NULL	NULL	NULL
189	4-D-4983	0	4.723	NULL	-99.000	NULL	NULL	NULL	3.385	NULL	NULL	NULL	NULL	NULL	19721	NULL	20963	20909	NULL	20411	NULL	-99.000	NULL	2.440	NULL	1.688	NULL	NULL	21065	2.020	NULL	877.0	NULL	NULL	NULL	NULL
190	4-D-4984	0	4.440	NULL	-99.000	NULL	NULL	NULL	3.385	NULL	NULL	NULL	NULL	NULL	19721	NULL	20939	20909	NULL	20411	NULL	-99.000	NULL	2.440	NULL	1.688	NULL	NULL	21065	2.000	NULL	837.0	NULL	NULL	NULL	NULL
191	4-D-4985	0	4.250	NULL	-99.000	NULL	NULL	NULL	1.851	NULL	NULL	NULL	NULL	NULL	19721	NULL	20939	20909	NULL	20411	NULL	-99.000	NULL	3.074	NULL	1.968	NULL	NULL	21065	2.150	NULL	1060.0	NULL	NULL	NULL	NULL
192	4-D-5246	1	4.440	NULL	3.204	NULL	NULL	NULL	1.745	NULL	NULL	NULL	NULL	NULL	19721	NULL	20963	20909	NULL	20975	NULL	2.242	NULL	2.830	NULL	2.125	NULL	NULL	21065	2.055	NULL	1189.0	NULL	NULL	NULL	NULL
193	4-D-5269	0	3.856	NULL	-99.000	NULL	NULL	NULL	1.851	NULL	NULL	NULL	NULL	NULL	19721	NULL	20939	20909	NULL	20411	NULL	-99.000	NULL	2.392	NULL	1.968	NULL	NULL	21065	2.150	NULL	887.0	NULL	NULL	NULL	NULL
194	4-D-5284	1	4.440	NULL	-99.000	NULL	NULL	NULL	1.741	NULL	NULL	NULL	NULL	NULL	19721	NULL	20963	20909	NULL	20975	NULL	-99.000	NULL	2.832	NULL	2.240	NULL	NULL	21065	2.055	NULL	1200.0	NULL	NULL	NULL	NULL
195	4-D-5324	0	4.640	NULL	-99.000	NULL	NULL	NULL	1.851	NULL	NULL	NULL	NULL	NULL	19720	NULL	20939	20909	NULL	20411	NULL	-99.000	NULL	3.730	NULL	1.624	NULL	26.0	21066	2.150	NULL	1344.0	NULL	NULL	NULL	NULL
196	4-D-5327	1	4.440	NULL	-99.000	NULL	NULL	NULL	1.740	NULL	NULL	NULL	NULL	NULL	19720	NULL	20965	20909	NULL	20975	NULL	-99.000	NULL	3.031	NULL	2.302	NULL	NULL	21065	2.056	NULL	1228.0	NULL	NULL	NULL	NULL
197	4-D-5572	0	7.595	NULL	6.630	NULL	NULL	NULL	3.772	NULL	NULL	NULL	NULL	NULL	19721	NULL	20991	20925	NULL	20411	NULL	-99.000	NULL	3.700	NULL	3.070	NULL	NULL	21065	3.685	NULL	4405.0	NULL	NULL	NULL	NULL
